INFO 2024-07-16 11:49:51,617 autoreload 80056 8314833920 Watching for file changes with StatReloader
INFO 2024-07-16 11:49:59,065 basehttp 80056 6167785472 "GET / HTTP/1.1" 200 1029
INFO 2024-07-16 11:49:59,115 basehttp 80056 6184611840 "GET /static/css/app.css HTTP/1.1" 200 2409
INFO 2024-07-16 11:49:59,117 basehttp 80056 6167785472 "GET /static/css/chunk-vendors.css HTTP/1.1" 200 188207
INFO 2024-07-16 11:49:59,130 basehttp 80056 6167785472 "GET /static/js/app.js HTTP/1.1" 200 28888
INFO 2024-07-16 11:49:59,165 basehttp 80056 6167785472 "GET /static/js/chunk-vendors.js HTTP/1.1" 200 4982752
INFO 2024-07-16 11:49:59,456 basehttp 80056 6167785472 "GET /api/check_login_status/ HTTP/1.1" 200 21
INFO 2024-07-16 11:49:59,461 basehttp 80056 6167785472 "GET /static/img/chat-icon.svg HTTP/1.1" 200 1615
INFO 2024-07-16 11:49:59,473 basehttp 80056 6167785472 "GET /static/js/app.js.map HTTP/1.1" 200 92770
INFO 2024-07-16 11:49:59,527 basehttp 80056 6167785472 "GET /static/js/chunk-vendors.js.map HTTP/1.1" 200 12849883
INFO 2024-07-16 11:49:59,571 basehttp 80056 6167785472 "GET /api/favicon.ico HTTP/1.1" 200 1029
INFO 2024-07-16 11:50:08,108 basehttp 80056 6167785472 "GET / HTTP/1.1" 200 1029
INFO 2024-07-16 11:50:08,143 basehttp 80056 6184611840 "GET /static/css/app.css HTTP/1.1" 200 2409
INFO 2024-07-16 11:50:08,143 basehttp 80056 6167785472 "GET /static/css/chunk-vendors.css HTTP/1.1" 200 188207
INFO 2024-07-16 11:50:08,165 basehttp 80056 6184611840 "GET /static/js/app.js HTTP/1.1" 200 28888
INFO 2024-07-16 11:50:08,176 basehttp 80056 6167785472 "GET /static/js/chunk-vendors.js HTTP/1.1" 200 4982752
INFO 2024-07-16 11:50:08,400 basehttp 80056 6167785472 "GET /api/check_login_status/ HTTP/1.1" 200 21
INFO 2024-07-16 11:50:08,409 basehttp 80056 6167785472 "GET /static/img/chat-icon.svg HTTP/1.1" 200 1615
INFO 2024-07-16 11:50:08,424 basehttp 80056 6167785472 "GET /static/js/app.js.map HTTP/1.1" 200 92770
INFO 2024-07-16 11:50:08,467 basehttp 80056 6184611840 "GET /static/js/chunk-vendors.js.map HTTP/1.1" 200 12849883
INFO 2024-07-16 11:50:08,508 basehttp 80056 6184611840 "GET /api/favicon.ico HTTP/1.1" 200 1029
INFO 2024-07-16 11:50:09,715 basehttp 80056 6184611840 "GET /api/favicon.ico HTTP/1.1" 200 1029
INFO 2024-07-16 11:50:11,099 basehttp 80056 6184611840 "POST /api/check_username/ HTTP/1.1" 200 17
INFO 2024-07-16 11:50:11,172 basehttp 80056 6184611840 "POST /api/check_username/ HTTP/1.1" 200 17
INFO 2024-07-16 11:50:11,242 basehttp 80056 6184611840 "POST /api/check_username/ HTTP/1.1" 200 17
INFO 2024-07-16 11:50:11,338 basehttp 80056 6184611840 "POST /api/check_username/ HTTP/1.1" 200 17
INFO 2024-07-16 11:50:11,457 basehttp 80056 6184611840 "POST /api/check_username/ HTTP/1.1" 200 17
INFO 2024-07-16 11:50:13,830 basehttp 80056 6184611840 "POST /api/register/ HTTP/1.1" 201 64
INFO 2024-07-16 11:50:13,845 basehttp 80056 6184611840 "GET /static/img/chat-icon.svg HTTP/1.1" 200 1615
INFO 2024-07-16 11:50:13,849 basehttp 80056 6184611840 "GET /api/favicon.ico HTTP/1.1" 200 1029
INFO 2024-07-16 11:50:14,793 basehttp 80056 6184611840 "GET /api/favicon.ico HTTP/1.1" 200 1029
INFO 2024-07-16 11:50:16,212 basehttp 80056 6184611840 "POST /api/check_username/ HTTP/1.1" 200 17
INFO 2024-07-16 11:50:16,277 basehttp 80056 6184611840 "POST /api/check_username/ HTTP/1.1" 200 17
INFO 2024-07-16 11:50:16,376 basehttp 80056 6184611840 "POST /api/check_username/ HTTP/1.1" 200 17
INFO 2024-07-16 11:50:16,442 basehttp 80056 6184611840 "POST /api/check_username/ HTTP/1.1" 200 17
WARNING 2024-07-16 11:50:16,571 log 80056 6184611840 Bad Request: /api/check_username/
WARNING 2024-07-16 11:50:16,572 basehttp 80056 6184611840 "POST /api/check_username/ HTTP/1.1" 400 63
INFO 2024-07-16 11:50:16,861 basehttp 80056 6184611840 "POST /api/check_username/ HTTP/1.1" 200 17
WARNING 2024-07-16 11:50:17,398 log 80056 6184611840 Bad Request: /api/check_username/
WARNING 2024-07-16 11:50:17,398 basehttp 80056 6184611840 "POST /api/check_username/ HTTP/1.1" 400 63
INFO 2024-07-16 11:50:17,676 basehttp 80056 6184611840 "POST /api/check_username/ HTTP/1.1" 200 17
INFO 2024-07-16 11:50:21,299 basehttp 80056 6184611840 "POST /api/register/ HTTP/1.1" 201 64
INFO 2024-07-16 11:50:21,320 basehttp 80056 6184611840 "GET /static/img/chat-icon.svg HTTP/1.1" 200 1615
INFO 2024-07-16 11:50:21,324 basehttp 80056 6184611840 "GET /api/favicon.ico HTTP/1.1" 200 1029
INFO 2024-07-16 11:50:29,489 basehttp 80056 6201438208 "POST /api/login/ HTTP/1.1" 200 43
INFO 2024-07-16 11:50:30,947 basehttp 80056 6201438208 "GET /api/get_current_user/ HTTP/1.1" 200 22
INFO 2024-07-16 11:50:30,977 basehttp 80056 6201438208 "GET /api/get_icon_color/?username=keita2 HTTP/1.1" 200 20
INFO 2024-07-16 11:50:30,991 basehttp 80056 6218264576 "GET /home HTTP/1.1" 200 1029
INFO 2024-07-16 11:50:30,995 basehttp 80056 6201438208 - Broken pipe from ('127.0.0.1', 51761)
INFO 2024-07-16 11:50:30,999 basehttp 80056 6218264576 "GET /static/js/app.js HTTP/1.1" 200 28888
INFO 2024-07-16 11:50:30,999 basehttp 80056 6201438208 "GET /static/css/app.css HTTP/1.1" 200 2409
INFO 2024-07-16 11:50:31,001 basehttp 80056 6235090944 "GET /static/css/chunk-vendors.css HTTP/1.1" 200 188207
INFO 2024-07-16 11:50:31,008 basehttp 80056 6251917312 "GET /static/js/chunk-vendors.js HTTP/1.1" 200 4982752
INFO 2024-07-16 11:50:31,162 basehttp 80056 6218264576 "GET /api/check_login_status/ HTTP/1.1" 200 20
INFO 2024-07-16 11:50:31,167 basehttp 80056 6218264576 "GET /api/get_current_user/ HTTP/1.1" 200 22
INFO 2024-07-16 11:50:31,199 basehttp 80056 6218264576 "GET /api/room/ HTTP/1.1" 200 28
INFO 2024-07-16 11:50:31,236 basehttp 80056 6218264576 "GET /api/get_icon_color/?username=keita2 HTTP/1.1" 200 20
INFO 2024-07-16 11:50:31,247 basehttp 80056 6218264576 "POST /api/create_default_room/ HTTP/1.1" 200 76
INFO 2024-07-16 11:50:31,252 basehttp 80056 6218264576 "GET /api/messages/?room_id=0 HTTP/1.1" 200 2
INFO 2024-07-16 11:50:35,824 basehttp 80056 6184611840 "POST /api/login/ HTTP/1.1" 200 42
INFO 2024-07-16 11:50:37,353 basehttp 80056 6184611840 "GET /home HTTP/1.1" 200 1029
INFO 2024-07-16 11:50:37,360 basehttp 80056 6167785472 "GET /api/get_current_user/ HTTP/1.1" 200 21
INFO 2024-07-16 11:50:37,409 basehttp 80056 6184611840 "GET /static/css/app.css HTTP/1.1" 200 2409
INFO 2024-07-16 11:50:37,414 basehttp 80056 6268743680 "GET /api/favicon.ico HTTP/1.1" 200 1029
INFO 2024-07-16 11:50:37,414 basehttp 80056 6167785472 "GET /static/css/chunk-vendors.css HTTP/1.1" 200 188207
INFO 2024-07-16 11:50:37,436 basehttp 80056 6268743680 "GET /static/js/app.js HTTP/1.1" 200 28888
INFO 2024-07-16 11:50:37,458 basehttp 80056 6167785472 "GET /static/js/chunk-vendors.js HTTP/1.1" 200 4982752
INFO 2024-07-16 11:50:37,669 basehttp 80056 6167785472 "GET /api/check_login_status/ HTTP/1.1" 200 20
INFO 2024-07-16 11:50:37,671 basehttp 80056 6268743680 "GET /api/get_current_user/ HTTP/1.1" 200 21
INFO 2024-07-16 11:50:37,677 basehttp 80056 6167785472 "GET /static/js/app.js.map HTTP/1.1" 200 92770
INFO 2024-07-16 11:50:37,707 basehttp 80056 6167785472 "GET /api/room/ HTTP/1.1" 200 28
INFO 2024-07-16 11:50:37,717 basehttp 80056 6268743680 "GET /static/js/chunk-vendors.js.map HTTP/1.1" 200 12849883
INFO 2024-07-16 11:50:37,745 basehttp 80056 6268743680 "GET /api/get_icon_color/?username=keita HTTP/1.1" 200 20
INFO 2024-07-16 11:50:37,766 basehttp 80056 6268743680 "POST /api/create_default_room/ HTTP/1.1" 200 76
INFO 2024-07-16 11:50:37,822 basehttp 80056 6268743680 "GET /api/messages/?room_id=0 HTTP/1.1" 200 2
INFO 2024-07-16 11:50:37,830 basehttp 80056 6268743680 "GET /api/favicon.ico HTTP/1.1" 200 1029
INFO 2024-07-16 11:50:58,626 basehttp 80056 6268743680 "POST /api/create-room/ HTTP/1.1" 201 61
INFO 2024-07-16 11:50:58,659 basehttp 80056 6268743680 "GET /api/get_icon_color/?username=keita HTTP/1.1" 200 20
INFO 2024-07-16 11:50:58,660 basehttp 80056 6167785472 "GET /api/messages/?room_id=1 HTTP/1.1" 200 2
INFO 2024-07-16 11:50:58,663 basehttp 80056 6268743680 "GET /api/messages/?room_id=1 HTTP/1.1" 200 2
INFO 2024-07-16 11:50:58,677 basehttp 80056 6268743680 "GET /api/favicon.ico HTTP/1.1" 200 1029
INFO 2024-07-16 11:50:58,678 basehttp 80056 6167785472 "GET /api/get_current_user/ HTTP/1.1" 200 21
INFO 2024-07-16 11:50:58,680 basehttp 80056 6268743680 "GET /api/get_current_user/ HTTP/1.1" 200 21
INFO 2024-07-16 11:51:02,197 basehttp 80056 6268743680 "POST /api/create-room/ HTTP/1.1" 201 61
INFO 2024-07-16 11:51:02,227 basehttp 80056 6268743680 "GET /api/messages/?room_id=2 HTTP/1.1" 200 2
INFO 2024-07-16 11:51:02,230 basehttp 80056 6167785472 "GET /api/favicon.ico HTTP/1.1" 200 1029
INFO 2024-07-16 11:51:02,237 basehttp 80056 6167785472 "GET /api/get_current_user/ HTTP/1.1" 200 21
INFO 2024-07-16 11:51:03,621 basehttp 80056 6268743680 "GET /api/favicon.ico HTTP/1.1" 200 1029
INFO 2024-07-16 11:51:03,622 basehttp 80056 6167785472 "GET /api/messages/?room_id=1 HTTP/1.1" 200 2
INFO 2024-07-16 11:51:03,628 basehttp 80056 6167785472 "GET /api/get_current_user/ HTTP/1.1" 200 21
INFO 2024-07-16 11:51:08,385 basehttp 80056 6218264576 "GET /home HTTP/1.1" 200 1029
INFO 2024-07-16 11:51:08,394 basehttp 80056 6235090944 "GET /static/js/app.js HTTP/1.1" 304 0
INFO 2024-07-16 11:51:08,394 basehttp 80056 6201438208 "GET /static/css/app.css HTTP/1.1" 304 0
INFO 2024-07-16 11:51:08,395 basehttp 80056 6218264576 "GET /static/css/chunk-vendors.css HTTP/1.1" 304 0
INFO 2024-07-16 11:51:08,395 basehttp 80056 6251917312 "GET /static/js/chunk-vendors.js HTTP/1.1" 304 0
INFO 2024-07-16 11:51:08,530 basehttp 80056 6218264576 "GET /api/check_login_status/ HTTP/1.1" 200 20
INFO 2024-07-16 11:51:08,535 basehttp 80056 6201438208 "GET /api/get_current_user/ HTTP/1.1" 200 22
INFO 2024-07-16 11:51:08,562 basehttp 80056 6218264576 "GET /api/room/ HTTP/1.1" 200 74
INFO 2024-07-16 11:51:08,591 basehttp 80056 6218264576 "GET /api/get_icon_color/?username=keita2 HTTP/1.1" 200 20
INFO 2024-07-16 11:51:08,608 basehttp 80056 6218264576 "POST /api/create_default_room/ HTTP/1.1" 200 76
INFO 2024-07-16 11:51:08,617 basehttp 80056 6218264576 "GET /api/messages/?room_id=0 HTTP/1.1" 200 2
INFO 2024-07-16 11:51:09,450 basehttp 80056 6218264576 "GET /api/get_icon_color/?username=keita2 HTTP/1.1" 200 20
INFO 2024-07-16 11:51:09,453 basehttp 80056 6201438208 "GET /api/messages/?room_id=1 HTTP/1.1" 200 2
INFO 2024-07-16 11:51:09,479 basehttp 80056 6218264576 "GET /api/get_current_user/ HTTP/1.1" 200 22
INFO 2024-07-16 11:51:17,792 basehttp 80056 6218264576 "GET /api/messages/?room_id=2 HTTP/1.1" 200 2
INFO 2024-07-16 11:51:17,798 basehttp 80056 6218264576 "GET /api/get_current_user/ HTTP/1.1" 200 22
INFO 2024-07-16 11:51:19,845 basehttp 80056 6268743680 "GET /api/favicon.ico HTTP/1.1" 200 1029
INFO 2024-07-16 11:51:19,848 basehttp 80056 6167785472 "GET /api/messages/?room_id=2 HTTP/1.1" 200 2
INFO 2024-07-16 11:51:19,851 basehttp 80056 6167785472 "GET /api/get_current_user/ HTTP/1.1" 200 21
INFO 2024-07-16 11:51:26,506 basehttp 80056 6218264576 "GET /api/messages/?room_id=1 HTTP/1.1" 200 130
INFO 2024-07-16 11:51:26,517 basehttp 80056 6218264576 "GET /api/get_current_user/ HTTP/1.1" 200 22
INFO 2024-07-16 11:51:28,205 basehttp 80056 6167785472 "GET /api/messages/?room_id=1 HTTP/1.1" 200 130
INFO 2024-07-16 11:51:28,205 basehttp 80056 6268743680 "GET /api/favicon.ico HTTP/1.1" 200 1029
INFO 2024-07-16 11:51:28,210 basehttp 80056 6268743680 "GET /api/get_current_user/ HTTP/1.1" 200 21
INFO 2024-07-16 11:51:29,917 basehttp 80056 6167785472 "GET /api/favicon.ico HTTP/1.1" 200 1029
INFO 2024-07-16 11:51:29,918 basehttp 80056 6268743680 "GET /api/messages/?room_id=2 HTTP/1.1" 200 129
INFO 2024-07-16 11:51:29,923 basehttp 80056 6268743680 "GET /api/get_current_user/ HTTP/1.1" 200 21
INFO 2024-07-16 11:51:30,598 basehttp 80056 6268743680 "GET /api/messages/?room_id=1 HTTP/1.1" 200 130
INFO 2024-07-16 11:51:30,600 basehttp 80056 6167785472 "GET /api/favicon.ico HTTP/1.1" 200 1029
INFO 2024-07-16 11:51:30,605 basehttp 80056 6167785472 "GET /api/get_current_user/ HTTP/1.1" 200 21
INFO 2024-07-16 11:52:58,256 basehttp 80056 6201438208 "GET /api/messages/?room_id=2 HTTP/1.1" 200 129
INFO 2024-07-16 11:52:58,261 basehttp 80056 6201438208 "GET /api/get_current_user/ HTTP/1.1" 200 22
INFO 2024-07-16 11:52:58,810 basehttp 80056 6201438208 "GET /api/messages/?room_id=1 HTTP/1.1" 200 259
INFO 2024-07-16 11:52:58,821 basehttp 80056 6201438208 "GET /api/get_current_user/ HTTP/1.1" 200 22
INFO 2024-07-16 11:52:59,474 basehttp 80056 6201438208 "GET /api/messages/?room_id=2 HTTP/1.1" 200 129
INFO 2024-07-16 11:52:59,483 basehttp 80056 6201438208 "GET /api/get_current_user/ HTTP/1.1" 200 22
INFO 2024-07-16 11:52:59,955 basehttp 80056 6201438208 "GET /api/messages/?room_id=1 HTTP/1.1" 200 259
INFO 2024-07-16 11:52:59,966 basehttp 80056 6201438208 "GET /api/get_current_user/ HTTP/1.1" 200 22
INFO 2024-07-16 11:53:01,342 basehttp 80056 6201438208 "GET /api/messages/?room_id=2 HTTP/1.1" 200 129
